Lieu	N° région, département	Série	Unité	2006	2012
AISNE	02	OC30322-Surface des landes et broussailles	ha	640.0	640.0
AISNE	02	OC30323-Surface de la végétation sclérophylle	ha	0.0	0.0
AISNE	02	OC30324-Surface des forêts et végétations arbustives en mutation	ha	4436.0	3078.0
AISNE	02	OC30331-Surface des plages, dunes, sables	ha	0.0	0.0
AISNE	02	OC30332-Surface des roches nues	ha	0.0	0.0
AISNE	02	OC30333-Surface de végétation clairsemée	ha	0.0	0.0
AISNE	02	OC30334-Surface des zones incendiées	ha	0.0	0.0
AISNE	02	OC30335-Surface des glaciers et neiges éternelles	ha	0.0	0.0
AISNE	02	OC30411-Surface des marais intérieurs	ha	1186.0	1186.0
AISNE	02	OC30412-Surface des tourbières	ha	0.0	0.0
AISNE	02	OC30421-Surface des marais maritimes	ha	0.0	0.0
AISNE	02	OC30422-Surface des marais salants	ha	0.0	0.0
AISNE	02	OC30423-Surface des zones intertidales	ha	0.0	0.0
AISNE	02	OC305111-Surface des cours et voies d'eau	ha	0.0	0.0
AISNE	02	OC305112-Surface des cours et voies d'eau temporaires	ha	0.0	0.0
AISNE	02	OC30512-Surface des plans d'eau	ha	3098.0	3308.0
AISNE	02	OC30521-Surface des lagunes littorales	ha	0.0	0.0
AISNE	02	OC30522-Surface des estuaires	ha	0.0	0.0
AISNE	02	OC30523-Surface des mers et océans	ha	0.0	0.0
AISNE	02	OC309999-Surface non affectée/renseignée	ha	0.0	0.0
AISNE	02	OC30Total de la surface des territoires artificialisés	ha	41628.0	41919.0
AISNE	02	OC30Total de la surface des territoires agricoles	ha	549530.0	549065.0
AISNE	02	OC30Total de la surface des forêts et milieux semi-naturels	ha	147240.0	147203.0
AISNE	02	OC30Total de la surface des zones humides	ha	1186.0	1186.0
AISNE	02	OC30Total de la surface en eau	ha	3098.0	3308.0
AISNE	02	OC30Surface totale	ha	742681.0	742681.0
ALLIER	03	OC30111-Surface du tissu urbain continu	ha	376.0	376.0
ALLIER	03	OC30112-Surface du tissu urbain discontinu	ha	18316.0	18505.0
ALLIER	03	OC30121-Surface des zones industrielles ou commerciales et installations publiques	ha	2723.0	2847.0
ALLIER	03	OC30122-Surface des réseaux routiers et ferroviaires et espaces associés	ha	326.0	440.0
ALLIER	03	OC30123-Surface des zones portuaires	ha	0.0	0.0
ALLIER	03	OC30124-Surface des aéroports	ha	262.0	288.0
ALLIER	03	OC30131-Surface consacrée à l'extraction de matériaux	ha	765.0	824.0
ALLIER	03	OC30132-Surface occupée par des décharges	ha	27.0	27.0
ALLIER	03	OC30133-Surface des chantiers	ha	0.0	79.0
ALLIER	03	OC30141-Surface des espaces verts urbains	ha	67.0	67.0
ALLIER	03	OC30142-Surface occupée par des équipements sportifs et de loisirs	ha	892.0	892.0
ALLIER	03	OC302111-Surface des terres arables hors périmètres d'irrigation	ha	115896.0	115879.0
ALLIER	03	OC302112-Surface des cannes à sucre	ha	0.0	0.0
ALLIER	03	OC30212-Surface des périmètres irrigués en permanence	ha	0.0	0.0
ALLIER	03	OC30213-Surface des rizières	ha	0.0	0.0
ALLIER	03	OC30221-Surface des vignobles	ha	237.0	237.0
ALLIER	03	OC302221-Surface des vergers et petits fruits	ha	92.0	92.0
ALLIER	03	OC302222-Surface des bananeraies	ha	0.0	0.0
ALLIER	03	OC302223-Surface des palmeraies	ha	0.0	0.0
ALLIER	03	OC302224-Surface des caféiers	ha	0.0	0.0
ALLIER	03	OC30223-Surface des oliveraies	ha	0.0	0.0
ALLIER	03	OC30231-Surface des prairies et autres surfaces toujours en herbe à usage agricole	ha	372239.0	371768.0
ALLIER	03	OC30241-Surface des cultures annuelles associées à des cultures permanentes	ha	0.0	0.0
ALLIER	03	OC30242-Surface des systèmes culturaux et parcellaires complexes	ha	73987.0	73932.0
ALLIER	03	OC30243-Surface essentiellement agricole, interrompue par des espaces naturels importants	ha	21082.0	21067.0
ALLIER	03	OC30244-Surface des territoires agroforestiers	ha	0.0	0.0
ALLIER	03	OC303111-Surface des forêts de feuillus	ha	92555.0	93477.0
ALLIER	03	OC303111-Surface des mangroves	ha	0.0	0.0
ALLIER	03	OC30312-Surface des forêts de conifères	ha	13582.0	13686.0
ALLIER	03	OC30313-Surface des forêts mélangées	ha	12918.0	12964.0
ALLIER	03	OC30321-Surface des pelouses et pâturages naturels	ha	0.0	0.0
ALLIER	03	OC30322-Surface des landes et broussailles	ha	153.0	153.0
ALLIER	03	OC30323-Surface de la végétation sclérophylle	ha	0.0	0.0
ALLIER	03	OC30324-Surface des forêts et végétations arbustives en mutation	ha	5755.0	4659.0
ALLIER	03	OC30331-Surface des plages, dunes, sables	ha	0.0	0.0
ALLIER	03	OC30332-Surface des roches nues	ha	0.0	0.0
ALLIER	03	OC30333-Surface de végétation clairsemée	ha	0.0	0.0
ALLIER	03	OC30334-Surface des zones incendiées	ha	0.0	0.0
ALLIER	03	OC30335-Surface des glaciers et neiges éternelles	ha	0.0	0.0
ALLIER	03	OC30411-Surface des marais intérieurs	ha	27.0	27.0
ALLIER	03	OC30412-Surface des tourbières	ha	0.0	0.0
ALLIER	03	OC30421-Surface des marais maritimes	ha	0.0	0.0
ALLIER	03	OC30422-Surface des marais salants	ha	0.0	0.0
ALLIER	03	OC30423-Surface des zones intertidales	ha	0.0	0.0
ALLIER	03	OC305111-Surface des cours et voies d'eau	ha	3007.0	3001.0
ALLIER	03	OC305112-Surface des cours et voies d'eau temporaires	ha	0.0	0.0
ALLIER	03	OC30512-Surface des plans d'eau	ha	1245.0	1245.0
ALLIER	03	OC30521-Surface des lagunes littorales	ha	0.0	0.0
ALLIER	03	OC30522-Surface des estuaires	ha	0.0	0.0
ALLIER	03	OC30523-Surface des mers et océans	ha	0.0	0.0
ALLIER	03	OC309999-Surface non affectée/renseignée	ha	0.0	0.0
ALLIER	03	OC30Total de la surface des territoires artificialisés	ha	23756.0	24345.0
ALLIER	03	OC30Total de la surface des territoires agricoles	ha	583533.0	582974.0
ALLIER	03	OC30Total de la surface des forêts et milieux semi-naturels	ha	124963.0	124940.0
ALLIER	03	OC30Total de la surface des zones humides	ha	27.0	27.0
ALLIER	03	OC30Total de la surface en eau	ha	4252.0	4245.0
ALLIER	03	OC30Surface totale	ha	736531.0	736531.0
ALPES-DE-HAUTE-PROVENCE	04	OC30111-Surface du tissu urbain continu	ha	29.0	29.0
ALPES-DE-HAUTE-PROVENCE	04	OC30112-Surface du tissu urbain discontinu	ha	5910.0	6090.0
ALPES-DE-HAUTE-PROVENCE	04	OC30121-Surface des zones industrielles ou commerciales et installations publiques	ha	802.0	972.0
ALPES-DE-HAUTE-PROVENCE	04	OC30122-Surface des réseaux routiers et ferroviaires et espaces associés	ha	193.0	193.0
ALPES-DE-HAUTE-PROVENCE	04	OC30123-Surface des zones portuaires	ha	0.0	0.0
ALPES-DE-HAUTE-PROVENCE	04	OC30124-Surface des aéroports	ha	0.0	0.0
ALPES-DE-HAUTE-PROVENCE	04	OC30131-Surface consacrée à l'extraction de matériaux	ha	279.0	236.0
ALPES-DE-HAUTE-PROVENCE	04	OC30132-Surface occupée par des décharges	ha	0.0	0.0
ALPES-DE-HAUTE-PROVENCE	04	OC30133-Surface des chantiers	ha	25.0	0.0
ALPES-DE-HAUTE-PROVENCE	04	OC30141-Surface des espaces verts urbains	ha	0.0	0.0
ALPES-DE-HAUTE-PROVENCE	04	OC30142-Surface occupée par des équipements sportifs et de loisirs	ha	687.0	687.0
ALPES-DE-HAUTE-PROVENCE	04	OC302111-Surface des terres arables hors périmètres d'irrigation	ha	59791.0	59489.0
ALPES-DE-HAUTE-PROVENCE	04	OC302112-Surface des cannes à sucre	ha	0.0	0.0
ALPES-DE-HAUTE-PROVENCE	04	OC30212-Surface des périmètres irrigués en permanence	ha	0.0	0.0
ALPES-DE-HAUTE-PROVENCE	04	OC30213-Surface des rizières	ha	0.0	0.0
ALPES-DE-HAUTE-PROVENCE	04	OC30221-Surface des vignobles	ha	480.0	457.0
ALPES-DE-HAUTE-PROVENCE	04	OC302221-Surface des vergers et petits fruits	ha	2974.0	3200.0
ALPES-DE-HAUTE-PROVENCE	04	OC302222-Surface des bananeraies	ha	0.0	0.0
ALPES-DE-HAUTE-PROVENCE	04	OC302223-Surface des palmeraies	ha	0.0	0.0
ALPES-DE-HAUTE-PROVENCE	04	OC302224-Surface des caféiers	ha	0.0	0.0
ALPES-DE-HAUTE-PROVENCE	04	OC30223-Surface des oliveraies	ha	28.0	28.0
ALPES-DE-HAUTE-PROVENCE	04	OC30231-Surface des prairies et autres surfaces toujours en herbe à usage agricole	ha	11450.0	11450.0
ALPES-DE-HAUTE-PROVENCE	04	OC30241-Surface des cultures annuelles associées à des cultures permanentes	ha	0.0	0.0
ALPES-DE-HAUTE-PROVENCE	04	OC30242-Surface des systèmes culturaux et parcellaires complexes	ha	35153.0	35008.0
ALPES-DE-HAUTE-PROVENCE	04	OC30243-Surface essentiellement agricole, interrompue par des espaces naturels importants	ha	23301.0	23277.0
ALPES-DE-HAUTE-PROVENCE	04	OC30244-Surface des territoires agroforestiers	ha	371.0	371.0
ALPES-DE-HAUTE-PROVENCE	04	OC303111-Surface des forêts de feuillus	ha	103993.0	103375.0
ALPES-DE-HAUTE-PROVENCE	04	OC303111-Surface des mangroves	ha	0.0	0.0
ALPES-DE-HAUTE-PROVENCE	04	OC30312-Surface des forêts de conifères	ha	124373.0	124167.0
ALPES-DE-HAUTE-PROVENCE	04	OC30313-Surface des forêts mélangées	ha	48355.0	48354.0
ALPES-DE-HAUTE-PROVENCE	04	OC30321-Surface des pelouses et pâturages naturels	ha	75357.0	75315.0
ALPES-DE-HAUTE-PROVENCE	04	OC30322-Surface des landes et broussailles	ha	35235.0	35256.0
ALPES-DE-HAUTE-PROVENCE	04	OC30323-Surface de la végétation sclérophylle	ha	12383.0	12383.0
ALPES-DE-HAUTE-PROVENCE	04	OC30324-Surface des forêts et végétations arbustives en mutation	ha	60317.0	61424.0
ALPES-DE-HAUTE-PROVENCE	04	OC30331-Surface des plages, dunes, sables	ha	4602.0	4623.0
ALPES-DE-HAUTE-PROVENCE	04	OC30332-Surface des roches nues	ha	40131.0	40131.0
ALPES-DE-HAUTE-PROVENCE	04	OC30333-Surface de végétation clairsemée	ha	49875.0	49912.0
ALPES-DE-HAUTE-PROVENCE	04	OC30334-Surface des zones incendiées	ha	334.0	0.0
ALPES-DE-HAUTE-PROVENCE	04	OC30335-Surface des glaciers et neiges éternelles	ha	0.0	0.0
ALPES-DE-HAUTE-PROVENCE	04	OC30411-Surface des marais intérieurs	ha	39.0	39.0
ALPES-DE-HAUTE-PROVENCE	04	OC30412-Surface des tourbières	ha	0.0	0.0
ALPES-DE-HAUTE-PROVENCE	04	OC30421-Surface des marais maritimes	ha	0.0	0.0
ALPES-DE-HAUTE-PROVENCE	04	OC30422-Surface des marais salants	ha	0.0	0.0
ALPES-DE-HAUTE-PROVENCE	04	OC30423-Surface des zones intertidales	ha	0.0	0.0
ALPES-DE-HAUTE-PROVENCE	04	OC305111-Surface des cours et voies d'eau	ha	249.0	249.0
ALPES-DE-HAUTE-PROVENCE	04	OC305112-Surface des cours et voies d'eau temporaires	ha	0.0	0.0
ALPES-DE-HAUTE-PROVENCE	04	OC30512-Surface des plans d'eau	ha	2698.0	2698.0
ALPES-DE-HAUTE-PROVENCE	04	OC30521-Surface des lagunes littorales	ha	0.0	0.0
ALPES-DE-HAUTE-PROVENCE	04	OC30522-Surface des estuaires	ha	0.0	0.0
ALPES-DE-HAUTE-PROVENCE	04	OC30523-Surface des mers et océans	ha	0.0	0.0
ALPES-DE-HAUTE-PROVENCE	04	OC309999-Surface non affectée/renseignée	ha	0.0	0.0
ALPES-DE-HAUTE-PROVENCE	04	OC30Total de la surface des territoires artificialisés	ha	7925.0	8207.0
ALPES-DE-HAUTE-PROVENCE	04	OC30Total de la surface des territoires agricoles	ha	133549.0	133281.0
ALPES-DE-HAUTE-PROVENCE	04	OC30Total de la surface des forêts et milieux semi-naturels	ha	554954.0	554940.0
ALPES-DE-HAUTE-PROVENCE	04	OC30Total de la surface des zones humides	ha	39.0	39.0
ALPES-DE-HAUTE-PROVENCE	04	OC30Total de la surface en eau	ha	2948.0	2948.0
ALPES-DE-HAUTE-PROVENCE	04	OC30Surface totale	ha	699414.0	699414.0
ALPES-MARITIMES	06	OC30111-Surface du tissu urbain continu	ha	1657.0	1657.0
ALPES-MARITIMES	06	OC30112-Surface du tissu urbain discontinu	ha	31000.0	31139.0
ALPES-MARITIMES	06	OC30121-Surface des zones industrielles ou commerciales et installations publiques	ha	2332.0	2352.0
ALPES-MARITIMES	06	OC30122-Surface des réseaux routiers et ferroviaires et espaces associés	ha	398.0	398.0
ALPES-MARITIMES	06	OC30123-Surface des zones portuaires	ha	86.0	86.0
ALPES-MARITIMES	06	OC30124-Surface des aéroports	ha	435.0	435.0
ALPES-MARITIMES	06	OC30131-Surface consacrée à l'extraction de matériaux	ha	538.0	538.0
ALPES-MARITIMES	06	OC30132-Surface occupée par des décharges	ha	56.0	56.0
ALPES-MARITIMES	06	OC30133-Surface des chantiers	ha	0.0	0.0
ALPES-MARITIMES	06	OC30141-Surface des espaces verts urbains	ha	554.0	554.0
ALPES-MARITIMES	06	OC30142-Surface occupée par des équipements sportifs et de loisirs	ha	1307.0	1281.0
ALPES-MARITIMES	06	OC302111-Surface des terres arables hors périmètres d'irrigation	ha	470.0	470.0
ALPES-MARITIMES	06	OC302112-Surface des cannes à sucre	ha	0.0	0.0
ALPES-MARITIMES	06	OC30212-Surface des périmètres irrigués en permanence	ha	0.0	0.0
ALPES-MARITIMES	06	OC30213-Surface des rizières	ha	0.0	0.0
ALPES-MARITIMES	06	OC30221-Surface des vignobles	ha	43.0	43.0
ALPES-MARITIMES	06	OC302221-Surface des vergers et petits fruits	ha	2018.0	2018.0
ALPES-MARITIMES	06	OC302222-Surface des bananeraies	ha	0.0	0.0
ALPES-MARITIMES	06	OC302223-Surface des palmeraies	ha	0.0	0.0
ALPES-MARITIMES	06	OC302224-Surface des caféiers	ha	0.0	0.0
ALPES-MARITIMES	06	OC30223-Surface des oliveraies	ha	824.0	824.0
ALPES-MARITIMES	06	OC30231-Surface des prairies et autres surfaces toujours en herbe à usage agricole	ha	4168.0	4168.0
ALPES-MARITIMES	06	OC30241-Surface des cultures annuelles associées à des cultures permanentes	ha	0.0	0.0
ALPES-MARITIMES	06	OC30242-Surface des systèmes culturaux et parcellaires complexes	ha	8538.0	8445.0
ALPES-MARITIMES	06	OC30243-Surface essentiellement agricole, interrompue par des espaces naturels importants	ha	3255.0	3263.0
ALPES-MARITIMES	06	OC30244-Surface des territoires agroforestiers	ha	0.0	0.0
ALPES-MARITIMES	06	OC303111-Surface des forêts de feuillus	ha	34339.0	34339.0
ALPES-MARITIMES	06	OC303111-Surface des mangroves	ha	0.0	0.0
ALPES-MARITIMES	06	OC30312-Surface des forêts de conifères	ha	108133.0	108194.0
ALPES-MARITIMES	06	OC30313-Surface des forêts mélangées	ha	45846.0	45804.0
ALPES-MARITIMES	06	OC30321-Surface des pelouses et pâturages naturels	ha	75330.0	75335.0
ALPES-MARITIMES	06	OC30322-Surface des landes et broussailles	ha	8105.0	8105.0
ALPES-MARITIMES	06	OC30323-Surface de la végétation sclérophylle	ha	7427.0	7427.0
ALPES-MARITIMES	06	OC30324-Surface des forêts et végétations arbustives en mutation	ha	39622.0	39655.0
ALPES-MARITIMES	06	OC30331-Surface des plages, dunes, sables	ha	1447.0	1447.0
ALPES-MARITIMES	06	OC30332-Surface des roches nues	ha	20500.0	20500.0
ALPES-MARITIMES	06	OC30333-Surface de végétation clairsemée	ha	30516.0	30516.0
ALPES-MARITIMES	06	OC30334-Surface des zones incendiées	ha	103.0	0.0
ALPES-MARITIMES	06	OC30335-Surface des glaciers et neiges éternelles	ha	0.0	0.0
ALPES-MARITIMES	06	OC30411-Surface des marais intérieurs	ha	0.0	0.0
ALPES-MARITIMES	06	OC30412-Surface des tourbières	ha	0.0	0.0
ALPES-MARITIMES	06	OC30421-Surface des marais maritimes	ha	0.0	0.0
ALPES-MARITIMES	06	OC30422-Surface des marais salants	ha	0.0	0.0
ALPES-MARITIMES	06	OC30423-Surface des zones intertidales	ha	0.0	0.0
ALPES-MARITIMES	06	OC305111-Surface des cours et voies d'eau	ha	123.0	123.0
ALPES-MARITIMES	06	OC305112-Surface des cours et voies d'eau temporaires	ha	0.0	0.0
ALPES-MARITIMES	06	OC30512-Surface des plans d'eau	ha	120.0	120.0
ALPES-MARITIMES	06	OC30521-Surface des lagunes littorales	ha	0.0	0.0
ALPES-MARITIMES	06	OC30522-Surface des estuaires	ha	0.0	0.0
ALPES-MARITIMES	06	OC30523-Surface des mers et océans	ha	219.0	219.0
ALPES-MARITIMES	06	OC309999-Surface non affectée/renseignée	ha	0.0	0.0
ALPES-MARITIMES	06	OC30Total de la surface des territoires artificialisés	ha	38362.0	38494.0
ALPES-MARITIMES	06	OC30Total de la surface des territoires agricoles	ha	19317.0	19233.0
ALPES-MARITIMES	06	OC30Total de la surface des forêts et milieux semi-naturels	ha	371370.0	371322.0
ALPES-MARITIMES	06	OC30Total de la surface des zones humides	ha	0.0	0.0
ALPES-MARITIMES	06	OC30Total de la surface en eau	ha	462.0	462.0
ALPES-MARITIMES	06	OC30Surface totale	ha	429511.0	429511.0
ARDECHE	07	OC30111-Surface du tissu urbain continu	ha	135.0	135.0
ARDECHE	07	OC30112-Surface du tissu urbain discontinu	ha	12146.0	12457.0
ARDECHE	07	OC30121-Surface des zones industrielles ou commerciales et installations publiques	ha	1629.0	1701.0
ARDECHE	07	OC30122-Surface des réseaux routiers et ferroviaires et espaces associés	ha	0.0	0.0
ARDECHE	07	OC30123-Surface des zones portuaires	ha	0.0	0.0
ARDECHE	07	OC30124-Surface des aéroports	ha	0.0	0.0
ARDECHE	07	OC30131-Surface consacrée à l'extraction de matériaux	ha	565.0	577.0
ARDECHE	07	OC30132-Surface occupée par des décharges	ha	0.0	0.0
ARDECHE	07	OC30133-Surface des chantiers	ha	0.0	0.0
ARDECHE	07	OC30141-Surface des espaces verts urbains	ha	65.0	65.0
ARDECHE	07	OC30142-Surface occupée par des équipements sportifs et de loisirs	ha	201.0	201.0
ARDECHE	07	OC302111-Surface des terres arables hors périmètres d'irrigation	ha	3190.0	3186.0
ARDECHE	07	OC302112-Surface des cannes à sucre	ha	0.0	0.0
ARDECHE	07	OC30212-Surface des périmètres irrigués en permanence	ha	0.0	0.0
ARDECHE	07	OC30213-Surface des rizières	ha	0.0	0.0
ARDECHE	07	OC30221-Surface des vignobles	ha	15825.0	15802.0
ARDECHE	07	OC302221-Surface des vergers et petits fruits	ha	3240.0	3224.0
ARDECHE	07	OC302222-Surface des bananeraies	ha	0.0	0.0
ARDECHE	07	OC302223-Surface des palmeraies	ha	0.0	0.0
ARDECHE	07	OC302224-Surface des caféiers	ha	0.0	0.0
ARDECHE	07	OC30223-Surface des oliveraies	ha	0.0	0.0
ARDECHE	07	OC30231-Surface des prairies et autres surfaces toujours en herbe à usage agricole	ha	56757.0	56668.0
ARDECHE	07	OC30241-Surface des cultures annuelles associées à des cultures permanentes	ha	0.0	0.0
ARDECHE	07	OC30242-Surface des systèmes culturaux et parcellaires complexes	ha	63363.0	63113.0
ARDECHE	07	OC30243-Surface essentiellement agricole, interrompue par des espaces naturels importants	ha	12935.0	12935.0
ARDECHE	07	OC30244-Surface des territoires agroforestiers	ha	0.0	0.0
ARDECHE	07	OC303111-Surface des forêts de feuillus	ha	122644.0	122608.0
ARDECHE	07	OC303111-Surface des mangroves	ha	0.0	0.0
ARDECHE	07	OC30312-Surface des forêts de conifères	ha	79903.0	79923.0
ARDECHE	07	OC30313-Surface des forêts mélangées	ha	67812.0	67932.0
ARDECHE	07	OC30321-Surface des pelouses et pâturages naturels	ha	35586.0	35501.0
ARDECHE	07	OC30322-Surface des landes et broussailles	ha	40871.0	41001.0
ARDECHE	07	OC30323-Surface de la végétation sclérophylle	ha	11336.0	11336.0
ARDECHE	07	OC30324-Surface des forêts et végétations arbustives en mutation	ha	24645.0	24448.0
ARDECHE	07	OC30331-Surface des plages, dunes, sables	ha	0.0	0.0
ARDECHE	07	OC30332-Surface des roches nues	ha	218.0	218.0
ARDECHE	07	OC30333-Surface de végétation clairsemée	ha	257.0	257.0
ARDECHE	07	OC30334-Surface des zones incendiées	ha	0.0	37.0
ARDECHE	07	OC30335-Surface des glaciers et neiges éternelles	ha	0.0	0.0
ARDECHE	07	OC30411-Surface des marais intérieurs	ha	0.0	0.0
ARDECHE	07	OC30412-Surface des tourbières	ha	0.0	0.0
ARDECHE	07	OC30421-Surface des marais maritimes	ha	0.0	0.0
ARDECHE	07	OC30422-Surface des marais salants	ha	0.0	0.0
ARDECHE	07	OC30423-Surface des zones intertidales	ha	0.0	0.0
ARDECHE	07	OC305111-Surface des cours et voies d'eau	ha	2355.0	2355.0
ARDECHE	07	OC305112-Surface des cours et voies d'eau temporaires	ha	0.0	0.0
ARDECHE	07	OC30512-Surface des plans d'eau	ha	353.0	353.0
ARDECHE	07	OC30521-Surface des lagunes littorales	ha	0.0	0.0
